capacity_kwh,soc0_pct,socT_pct,ambient_c,current_a,connector_temp_c,duration_min
92.8,11.0,97.1,14.6,30.7,40.0,720.0
77.4,46.2,92.8,20.4,14.3,40.3,720.0
50.5,27.6,81.9,43.7,10.3,57.2,720.0
58.1,43.5,99.7,40.5,12.3,73.2,720.0
89.0,58.5,81.6,15.7,24.2,33.6,260.0
54.0,9.1,89.6,23.4,16.0,37.6,720.0
27.2,73.6,89.4,21.5,12.2,42.4,171.7
68.6,28.5,93.9,13.5,16.1,36.5,720.0
66.9,43.3,94.0,21.5,26.6,43.7,509.7
95.4,40.5,97.9,44.1,16.0,72.7,720.0
50.3,63.2,81.2,-0.1,12.5,32.3,247.8
78.8,78.2,92.4,6.2,12.8,23.4,539.4
47.5,35.3,85.2,31.1,7.3,55.4,720.0
94.7,26.0,94.3,14.2,18.8,52.1,720.0
41.1,54.1,80.1,39.1,32.0,76.4,118.9
62.2,70.5,87.9,-4.7,17.5,28.4,348.1
65.2,63.4,95.9,-0.5,31.8,23.1,315.4
94.1,19.5,86.4,8.7,18.4,27.4,720.0
66.3,11.4,87.6,2.7,18.4,36.7,720.0
57.0,7.5,96.9,44.3,30.0,66.6,637.7
34.5,9.4,84.0,25.0,9.3,49.1,720.0
33.7,5.8,81.9,30.8,27.6,51.9,282.5
79.3,23.4,87.7,3.6,27.1,23.1,684.3
56.6,47.2,84.8,1.1,10.9,21.1,704.8
28.5,37.2,86.4,44.8,10.9,66.6,476.2
69.9,5.3,97.5,-1.4,8.7,27.3,720.0
30.2,57.2,96.0,15.6,22.4,33.9,247.7
68.4,38.3,99.7,18.2,30.5,45.1,561.6
81.8,32.9,84.8,-3.0,9.5,13.8,720.0
58.7,8.2,84.6,26.4,23.1,45.1,656.2
96.5,20.2,84.9,19.0,8.1,35.1,720.0
73.7,55.4,90.0,16.8,23.3,47.1,398.5
59.0,29.4,85.5,11.3,20.9,38.0,532.2
90.2,42.0,97.1,13.4,28.9,34.7,663.7
28.8,46.8,83.2,-1.0,18.4,18.2,184.6
58.2,39.2,91.1,36.4,30.9,81.0,456.4
36.5,45.8,93.6,39.5,10.9,53.1,644.6
95.1,7.4,87.6,32.2,23.8,72.5,720.0
84.1,12.1,91.4,4.4,27.3,24.3,720.0
69.2,41.1,88.7,9.4,10.0,39.1,720.0
45.1,65.1,84.9,-0.8,19.3,25.4,210.6
88.3,9.7,96.9,35.0,17.7,75.2,720.0
63.8,69.4,92.6,-0.2,28.4,21.2,265.1
26.1,43.8,88.1,39.5,16.6,55.6,258.5
43.4,33.4,93.8,29.7,11.4,65.7,720.0
66.6,42.9,97.6,33.2,15.3,55.4,720.0
91.5,45.3,89.3,-0.0,8.2,25.5,720.0
73.5,26.2,84.4,44.6,8.9,69.6,720.0
71.8,41.0,81.9,14.6,9.6,33.9,720.0
31.9,25.1,94.5,16.3,8.8,44.1,720.0
73.3,40.2,98.6,17.8,15.9,34.0,720.0
27.8,37.5,88.6,5.5,29.5,33.2,184.2
94.3,56.6,82.9,0.8,11.9,23.0,720.0
93.7,72.8,82.1,34.0,17.7,50.5,195.1
86.4,78.8,94.7,30.4,26.3,52.4,317.6
88.3,33.7,87.7,16.2,14.9,32.2,720.0
82.9,32.3,81.9,39.5,9.3,69.3,720.0
69.9,63.1,80.7,43.7,15.2,57.9,237.0
69.0,12.8,82.5,23.5,12.9,60.2,720.0
91.2,80.0,91.6,38.0,28.2,59.1,243.0
84.5,48.2,97.4,42.9,21.8,78.2,720.0
72.5,75.8,82.3,37.7,28.2,71.4,74.5
46.2,20.1,97.9,0.9,31.6,5.9,488.5
64.8,56.6,96.8,-0.7,10.1,23.2,720.0
59.0,39.2,94.4,34.1,17.3,83.3,720.0
46.3,67.4,94.5,34.4,22.3,65.7,268.7
83.4,68.5,80.8,20.9,15.2,48.1,199.2
83.2,35.7,99.1,9.0,27.2,36.1,720.0
26.8,34.1,92.6,17.1,12.8,51.9,451.0
67.9,49.0,86.5,-1.8,31.7,45.1,325.8
57.4,25.5,83.9,10.0,29.3,47.2,369.0
87.6,14.9,93.9,32.2,24.8,45.6,720.0
69.7,36.3,98.6,-0.9,31.8,17.8,620.0
76.3,64.8,85.7,35.9,23.5,42.5,270.9
71.3,67.8,96.5,2.9,26.7,27.5,469.4
30.9,23.6,98.5,-2.6,30.3,13.3,328.0
87.7,60.2,95.5,43.7,8.3,69.6,720.0
67.6,9.6,89.6,40.1,19.5,52.7,720.0
39.0,35.6,80.3,6.6,20.5,38.6,265.7
47.3,38.4,80.2,33.9,30.1,67.9,197.6
43.6,73.6,98.1,0.4,15.8,19.4,405.9
71.5,15.3,88.8,35.5,16.4,68.0,720.0
47.2,16.1,85.4,26.8,15.7,59.8,582.6
55.8,12.7,85.3,32.8,22.1,50.5,546.7
37.5,70.5,89.3,21.8,31.4,31.1,97.4
45.3,72.5,85.0,41.9,8.6,65.5,285.8
81.4,31.2,84.3,42.2,10.7,69.3,720.0
71.2,40.9,93.9,5.6,7.2,27.9,720.0
65.2,74.5,85.6,42.5,8.8,69.9,437.4
61.1,17.1,89.0,7.1,20.9,21.1,710.8
72.0,26.2,80.8,15.4,20.6,32.6,552.0
38.1,38.6,93.4,14.8,29.6,35.3,267.1
78.9,28.3,90.4,34.8,8.8,42.5,720.0
35.4,36.4,90.2,13.3,9.4,28.5,720.0
43.2,43.5,89.5,44.7,6.3,72.7,720.0
95.4,52.2,95.5,-4.5,12.7,19.4,720.0
87.2,68.9,83.5,35.8,25.2,63.4,191.9
94.3,69.4,80.1,30.9,6.1,68.9,501.2
55.0,74.7,92.2,1.4,28.7,16.3,191.1
80.4,60.7,83.7,38.1,16.0,65.6,452.6
59.0,63.7,86.7,34.1,28.5,63.7,177.9
86.1,8.1,91.5,39.3,9.1,72.9,720.0
90.6,34.8,82.3,5.9,8.9,30.5,720.0
25.0,69.0,87.1,1.6,13.3,15.4,177.1
41.4,15.6,95.3,-1.8,29.2,22.8,438.2
25.4,7.4,95.4,34.4,21.2,69.7,389.4
92.8,19.0,90.5,40.0,26.8,69.2,720.0
65.1,44.0,94.5,24.4,7.8,48.3,720.0
96.9,60.7,83.9,37.1,9.9,62.8,720.0
50.9,48.2,82.8,3.9,28.3,26.4,206.8
44.7,60.8,80.1,39.9,8.2,77.1,389.3
26.9,51.8,91.2,23.0,12.2,52.6,363.5
94.7,59.2,88.7,39.2,12.8,62.8,720.0
39.7,40.1,98.1,-1.1,23.1,26.0,480.4
91.9,14.9,81.5,5.7,8.9,24.4,720.0
34.9,69.8,81.7,11.9,20.4,39.8,64.0
45.6,7.8,97.0,20.2,28.1,28.6,546.6
89.5,57.1,90.2,27.2,10.4,58.1,720.0
53.7,63.5,88.6,16.3,31.1,34.3,178.4
47.2,42.1,85.7,36.3,17.6,56.2,399.0
33.5,33.6,91.1,-0.9,24.8,18.3,328.8
66.0,50.3,93.2,25.2,28.6,52.7,420.9
52.7,50.8,93.5,26.7,18.9,45.7,494.8
47.1,27.8,85.3,15.6,15.5,38.5,547.7
62.0,11.6,86.7,0.6,10.5,32.6,720.0
87.4,72.0,95.3,22.2,7.9,47.6,720.0
54.1,63.9,97.1,0.0,16.2,30.2,585.8
40.1,73.7,84.7,32.6,21.6,56.4,87.2
91.0,49.5,84.7,32.7,29.6,66.1,309.9
78.9,20.9,94.7,11.7,22.4,22.4,720.0
62.1,74.7,91.4,7.6,16.3,29.7,361.3
78.6,55.2,88.2,4.0,29.9,33.3,366.3
68.4,55.1,98.3,14.8,11.6,37.3,720.0
67.2,74.4,98.5,-4.3,30.9,22.1,310.3
31.8,68.8,99.4,35.7,17.5,53.8,318.7
88.1,51.8,99.2,14.4,10.6,43.6,720.0
60.1,32.0,87.3,15.4,17.3,49.7,633.9
76.3,43.7,88.2,40.6,22.4,74.7,654.9
93.7,70.2,95.0,29.0,29.9,47.4,400.1
66.0,61.4,92.8,41.1,27.3,72.6,402.7
37.1,19.7,88.9,14.8,23.6,36.7,348.5
72.7,38.0,90.9,26.1,24.5,53.7,566.5
37.8,32.8,83.8,11.1,11.8,38.7,460.0
89.1,47.4,81.0,3.3,26.9,13.5,406.5
65.0,11.0,91.8,16.7,17.6,54.8,720.0
47.8,14.4,81.8,4.1,15.2,27.4,720.0
76.5,64.7,80.1,-1.5,23.1,26.8,186.0
82.8,58.9,98.8,31.4,17.0,50.9,720.0
54.2,51.2,89.3,26.7,11.2,51.4,691.5
81.8,77.8,88.5,11.1,12.3,30.2,405.4
59.7,16.2,86.3,30.0,11.3,53.0,720.0
56.6,41.9,89.2,20.8,14.1,53.7,720.0
74.0,49.9,89.6,19.8,31.6,51.6,372.6
62.6,15.0,93.6,-4.4,13.1,19.4,720.0
41.7,34.8,92.2,0.0,23.5,31.2,412.0
92.6,17.3,87.1,7.7,23.3,39.7,720.0
31.1,44.1,93.8,37.9,14.0,57.2,468.1
36.6,45.7,92.4,39.4,26.3,53.6,259.5
68.9,46.3,87.9,14.0,21.4,45.5,523.8
58.0,60.1,98.8,33.7,8.6,63.6,720.0
74.1,48.8,86.7,32.4,29.3,66.8,354.3
93.1,32.4,86.3,43.6,11.1,58.1,720.0
48.8,13.9,83.3,11.4,14.0,59.5,720.0
92.5,46.6,87.8,10.7,6.8,36.1,720.0
39.1,31.9,97.4,38.2,21.6,59.1,415.0
36.9,52.1,82.5,22.8,22.4,47.1,152.1
25.2,54.0,94.0,17.8,23.1,46.2,178.9
57.6,9.4,84.6,24.7,19.4,55.8,712.3
95.2,16.2,88.3,11.0,25.6,34.4,720.0
59.8,42.2,98.5,7.7,22.3,30.3,691.6
37.9,71.8,95.9,44.1,25.6,66.1,183.9
34.2,31.0,91.6,29.6,7.9,52.7,720.0
94.0,75.1,90.8,27.0,10.3,54.6,720.0
99.7,22.0,87.2,15.2,22.1,52.8,720.0
66.4,64.4,84.1,33.0,29.3,45.5,170.0
72.2,62.3,87.8,36.2,17.6,60.4,433.0
83.5,28.7,99.3,25.9,11.5,53.1,720.0
26.0,79.8,85.0,13.2,12.4,27.6,68.5
68.0,40.4,85.5,8.7,26.2,47.6,370.3
29.7,73.1,91.3,30.1,21.1,60.2,141.1
42.0,60.3,96.5,30.1,18.8,56.1,402.3
61.4,29.5,80.9,0.1,22.2,38.6,483.3
90.7,46.2,99.5,0.8,25.6,26.0,720.0
73.6,39.9,97.2,41.8,18.3,71.5,720.0
77.3,50.3,99.7,-3.6,23.3,14.0,720.0
54.7,34.2,93.8,26.0,31.9,52.4,388.5
25.8,7.3,96.9,17.3,7.2,45.9,720.0
54.1,40.7,85.3,25.8,15.1,64.9,535.8
73.6,44.4,80.8,-4.3,25.7,13.6,350.9
54.2,52.4,80.5,5.2,10.4,18.1,427.8
60.3,50.8,89.2,4.0,12.0,28.9,720.0
82.0,22.9,89.8,39.8,12.5,66.1,720.0
33.6,10.1,92.8,40.7,23.6,71.7,400.4
91.6,21.7,96.2,5.3,13.8,37.7,720.0
44.7,66.1,99.9,28.1,17.5,63.1,447.5
94.4,77.1,98.6,28.2,16.2,63.8,720.0
66.6,76.3,99.5,29.0,20.5,54.4,430.3
49.4,10.1,92.3,-2.9,20.9,17.6,720.0
77.8,74.8,97.3,10.2,11.1,30.9,720.0
83.5,74.7,87.8,24.4,22.6,45.3,238.8
36.2,36.6,90.6,43.2,16.9,80.0,564.5
69.8,51.8,85.1,3.7,26.9,13.7,349.7
77.7,69.9,81.8,28.0,11.1,44.1,266.1
25.5,34.5,81.6,27.2,11.6,46.2,302.3
82.5,53.2,86.8,4.2,27.8,31.4,394.1
34.0,78.3,96.9,18.4,27.3,56.9,154.6
89.8,44.6,96.4,43.6,25.6,61.6,720.0
47.2,70.3,98.0,35.3,23.4,60.3,281.1
26.8,46.9,92.4,7.6,10.2,37.4,533.0
27.2,62.0,84.0,8.7,6.5,35.0,349.8
62.5,23.8,84.1,40.7,15.6,70.6,720.0
78.7,52.8,88.8,27.5,20.0,46.7,562.0
56.4,72.0,85.0,-2.3,10.6,5.0,322.2
38.9,56.3,86.4,17.9,30.8,28.1,153.3
78.6,73.9,93.4,2.7,8.5,25.6,720.0
82.9,42.7,94.3,7.5,31.8,48.0,543.2
49.7,27.3,88.5,3.6,7.3,44.5,720.0
55.1,78.3,95.6,-2.4,21.5,16.0,322.1
72.3,71.9,98.5,10.8,16.8,27.9,598.3
85.4,47.2,90.4,-3.9,31.7,21.0,515.7
39.2,15.2,84.3,37.1,7.5,70.0,720.0
88.1,54.4,86.7,26.1,21.7,55.3,424.0
72.1,20.4,93.8,3.9,10.8,29.1,720.0
35.4,5.4,84.0,40.3,14.9,58.9,582.8
62.9,6.0,87.5,38.6,21.2,60.8,720.0
29.6,11.3,89.5,24.4,28.8,49.6,243.7
58.2,51.9,96.4,15.3,31.7,47.6,335.0
66.2,50.8,97.8,6.2,13.6,7.5,720.0
95.1,48.1,90.9,14.6,11.1,39.7,720.0
74.6,23.6,84.2,9.0,13.7,38.5,720.0
46.4,67.0,88.3,5.1,23.8,34.4,198.0
67.2,22.2,92.4,10.9,14.2,31.4,720.0
96.9,27.7,97.8,35.9,8.9,54.1,720.0
94.7,70.6,95.2,30.8,28.8,53.9,379.1
88.4,48.2,96.3,24.9,16.5,52.6,720.0
26.8,29.2,81.3,20.6,9.8,39.6,465.5
39.0,43.2,92.3,36.9,16.8,66.7,445.6
86.8,77.1,94.1,40.4,17.8,65.4,468.6
57.5,9.3,95.8,15.9,14.7,48.4,720.0
37.5,36.9,89.3,31.7,25.2,66.1,276.8
37.3,53.2,84.1,6.3,15.6,35.3,263.2
74.4,54.1,97.9,33.3,25.9,64.7,549.8
35.5,34.3,83.5,35.3,17.8,65.1,322.3
52.8,34.0,87.6,-2.0,17.4,24.2,603.1
68.4,31.4,88.4,-4.9,28.8,27.2,535.4
81.5,47.8,80.5,11.9,7.4,30.0,720.0
27.5,6.4,85.1,24.0,15.6,60.6,432.8
88.3,69.9,86.1,35.3,14.6,47.5,446.2
54.7,79.9,84.0,7.3,17.2,31.5,87.9
79.4,26.2,84.7,19.0,25.1,43.6,640.0
66.0,24.2,86.4,30.1,23.1,61.9,540.2
68.9,73.4,96.6,12.5,27.0,42.0,322.3
35.4,77.0,89.6,34.3,10.8,66.2,268.5
81.3,49.0,88.6,-2.0,17.7,24.5,720.0
67.1,40.5,89.5,24.8,12.8,52.9,720.0
85.1,31.7,95.0,29.8,12.1,46.0,720.0
92.2,37.0,88.5,26.0,27.2,50.2,602.1
54.7,29.4,81.8,4.1,13.2,30.2,713.8
70.0,29.4,99.7,39.4,8.6,65.2,720.0
24.2,72.7,94.8,17.3,29.6,35.9,83.2
59.4,6.4,84.9,30.5,21.5,53.3,720.0
78.7,69.7,97.8,3.3,6.7,36.1,720.0
74.8,77.9,99.8,-3.1,28.9,33.0,392.2
46.4,36.2,95.2,21.8,7.3,46.2,720.0
46.8,51.9,92.4,4.6,8.0,38.1,720.0
51.8,19.9,92.5,41.6,9.3,67.2,720.0
61.8,73.5,81.1,1.1,19.6,21.2,98.1
86.3,20.9,95.5,21.6,26.9,57.5,720.0
37.3,50.7,99.8,34.4,23.7,62.6,340.2
41.5,75.6,89.8,21.5,24.9,50.4,124.9
99.7,43.8,90.9,5.5,24.0,32.6,696.0
28.4,24.6,88.1,45.0,24.5,53.7,234.7
45.4,59.8,85.6,-2.3,30.6,15.1,148.1
55.0,35.4,80.5,39.2,12.6,53.4,583.1
74.0,35.2,80.6,30.5,29.0,54.6,349.0
76.4,62.7,88.1,44.9,11.7,76.3,720.0
44.9,62.5,92.2,3.1,12.3,22.4,486.1
58.5,49.4,87.1,40.1,8.5,63.6,720.0
94.9,11.2,98.0,14.2,21.1,35.6,720.0
38.4,69.5,86.2,27.0,19.6,62.9,142.6
46.1,26.9,81.0,43.1,18.8,75.6,491.6
46.5,65.8,98.9,11.6,20.9,38.5,374.8
97.3,74.2,98.2,23.3,7.8,39.1,720.0
67.4,24.4,93.2,42.8,18.5,57.0,720.0
84.4,50.6,80.1,23.4,27.7,53.6,243.7
99.3,47.0,95.8,3.9,30.4,38.1,706.4
27.6,73.5,91.0,11.7,28.2,40.2,89.2
84.6,35.1,82.5,36.1,20.3,47.0,588.5
25.5,12.7,87.3,18.3,17.1,36.9,344.1
64.6,57.2,97.9,27.6,16.3,45.1,647.4
94.8,8.9,87.2,15.4,29.0,35.7,720.0
77.9,10.0,94.8,12.8,21.4,25.5,720.0
79.1,27.6,92.8,7.6,20.0,37.6,720.0
32.2,79.2,89.1,12.3,17.8,27.4,111.4
81.3,35.4,85.2,12.9,26.4,38.5,458.6
60.8,74.3,94.3,37.3,25.8,58.7,261.1
91.2,6.2,80.9,39.6,25.5,66.4,720.0
80.0,73.1,95.9,-2.3,26.6,23.3,405.9
52.3,46.1,90.1,-1.4,17.1,18.2,544.9
65.9,14.6,99.8,-3.2,21.8,20.6,720.0
94.1,24.1,95.2,44.2,10.6,61.3,720.0
58.6,20.6,83.0,38.3,24.4,63.1,512.9
86.0,34.0,91.9,22.6,16.1,45.1,720.0
84.9,31.1,85.8,27.0,18.9,55.8,720.0
94.8,69.0,88.9,13.8,25.9,31.9,369.6
55.4,5.9,89.5,-2.6,6.2,15.8,720.0
93.9,61.3,82.0,16.8,28.8,38.0,214.2
31.2,54.6,86.8,32.0,8.3,51.0,433.4
69.4,48.6,90.7,41.7,28.8,48.7,394.4
40.9,22.0,97.3,-2.6,11.4,10.8,720.0
77.2,75.9,87.2,18.0,24.6,34.3,196.5
98.9,35.6,87.3,42.7,22.6,60.9,720.0
96.5,35.4,85.6,21.4,16.4,34.2,720.0
46.4,44.2,94.8,38.3,9.0,73.4,720.0
55.2,65.5,98.8,41.8,18.0,77.8,592.8
52.4,36.5,85.3,18.9,20.7,49.5,385.3
95.2,63.8,82.0,23.2,25.3,35.2,230.5
71.8,73.6,85.9,9.8,19.0,26.9,246.6
50.1,72.9,82.0,24.6,17.3,52.3,82.1
53.4,25.4,86.6,-3.1,11.2,28.3,720.0
83.4,22.3,97.8,-3.5,29.7,16.8,720.0
31.5,54.3,95.7,6.8,17.4,20.2,318.0
70.6,63.2,81.1,0.3,20.7,40.8,230.7
73.6,48.1,98.7,1.4,13.3,25.9,720.0
94.7,8.9,95.2,5.4,25.6,31.8,720.0
64.6,27.2,95.5,5.9,7.5,28.9,720.0
33.0,77.3,97.9,41.3,23.4,70.2,212.8
25.2,15.1,92.5,31.7,28.9,67.7,242.0
42.6,68.5,84.6,16.6,30.5,39.7,88.8
66.7,75.7,88.2,17.0,7.8,50.9,569.4
75.6,48.7,85.2,42.9,9.0,69.4,720.0
63.4,14.3,80.3,-2.1,29.6,23.2,470.3
83.0,66.2,97.1,11.3,7.2,45.8,720.0
26.1,24.9,96.7,5.5,28.9,34.9,279.1
98.1,78.7,86.8,-3.6,12.7,5.9,434.5
34.4,64.2,84.6,29.0,29.7,63.5,80.0
82.2,66.6,87.2,32.6,16.4,67.9,447.4
51.6,61.8,89.6,13.8,11.4,38.2,494.1
41.3,10.2,82.4,40.2,23.6,59.2,401.0
88.7,23.1,96.9,33.0,10.3,75.1,720.0
94.4,59.6,98.5,-3.2,27.4,11.9,698.4
79.7,66.4,87.4,41.6,14.9,56.2,429.6
46.6,25.3,86.6,-4.7,22.4,20.1,435.7
42.2,52.2,88.9,17.8,12.6,34.5,474.5
29.1,27.7,90.7,20.9,15.0,41.9,427.6
84.4,62.8,84.1,19.1,28.9,44.8,229.4
71.9,78.9,99.2,26.0,8.4,49.9,720.0
70.4,67.5,96.5,2.2,22.9,16.2,517.7
40.6,41.3,89.9,22.7,22.3,52.2,331.9
56.9,55.1,86.2,20.3,12.1,39.4,481.1
61.7,46.5,87.8,24.2,19.7,64.5,485.9
76.4,69.1,86.2,34.0,15.2,55.3,320.6
66.3,59.9,84.2,12.3,29.2,38.8,216.5
43.4,78.4,96.7,-1.5,20.0,21.1,258.0
44.1,54.0,94.9,16.7,28.8,51.3,281.3
61.7,65.4,80.0,27.5,7.7,56.1,346.4
70.5,62.6,99.0,42.8,10.1,59.4,720.0
40.8,38.4,96.4,39.3,26.3,64.3,336.2
90.8,76.9,98.0,36.1,18.2,66.1,689.8
82.9,34.3,89.7,11.5,31.5,33.2,482.0
41.6,47.5,93.9,24.0,21.7,48.1,310.1
39.7,58.4,98.6,25.8,24.9,51.6,283.7
68.3,5.4,80.6,23.1,10.3,51.0,720.0
74.3,23.5,87.5,28.9,6.9,47.7,720.0
58.5,43.2,96.6,18.9,19.2,36.0,667.2
99.8,26.7,80.5,-1.4,26.5,27.4,686.1
77.3,10.5,100.0,-2.2,31.2,17.4,720.0
71.6,31.0,82.4,41.2,26.7,59.3,419.0
91.8,60.7,84.4,32.7,13.5,49.3,650.4
92.0,24.7,93.6,1.6,11.5,30.6,720.0
43.1,76.6,91.0,38.8,30.6,61.0,113.9
44.1,17.2,97.5,0.7,20.1,20.0,711.5
26.8,25.6,87.3,17.2,8.5,32.4,615.9
97.0,51.5,80.0,17.8,23.2,33.6,359.6
81.3,58.3,87.9,10.7,24.9,44.8,406.2
87.5,37.5,93.1,10.6,21.4,36.7,720.0
74.4,43.4,82.6,19.9,25.2,56.7,333.0
73.1,6.2,98.9,21.9,8.8,50.9,720.0
45.1,11.9,99.3,41.7,21.2,76.5,720.0
92.6,13.4,99.9,38.9,11.3,60.6,720.0
61.7,43.9,93.1,18.7,22.3,41.4,561.1
41.1,9.1,88.9,26.9,12.3,47.1,720.0
81.2,73.1,98.7,6.2,22.4,34.6,588.3
29.6,30.5,84.5,4.2,7.8,33.9,720.0
50.7,55.8,94.2,3.7,7.1,50.1,720.0
29.4,25.4,86.2,15.2,30.2,32.1,195.2
79.9,36.4,99.3,14.7,21.9,52.6,720.0
80.2,32.6,99.9,-2.4,8.6,20.6,720.0
35.2,29.5,91.2,42.3,29.3,73.7,295.8
78.0,74.1,82.6,6.6,8.2,14.3,331.5
52.9,9.6,87.3,21.0,9.8,44.3,720.0
64.5,21.5,99.4,42.9,22.9,75.2,720.0
90.6,50.1,82.4,34.1,21.8,60.6,421.5
75.9,39.7,89.6,37.7,6.2,61.3,720.0
91.0,42.6,84.0,5.1,20.3,27.1,677.8
31.2,37.3,96.7,30.3,15.0,44.6,496.4
68.4,72.8,89.0,1.0,28.4,32.6,211.8
66.9,18.5,95.5,6.9,7.6,33.1,720.0
67.7,66.7,91.5,21.2,10.3,46.3,703.9
84.6,11.4,92.0,18.1,14.3,32.0,720.0
72.1,49.6,98.7,10.7,6.4,39.5,720.0
68.2,28.2,93.3,15.4,17.1,31.9,720.0
86.5,47.3,84.8,36.7,10.6,71.6,720.0
68.2,13.0,93.0,16.0,23.9,53.5,720.0
49.4,54.2,92.1,19.1,16.5,43.7,457.7
33.2,42.4,93.7,39.0,18.2,52.8,352.1
69.1,7.1,87.9,41.1,21.9,68.3,720.0
57.9,75.6,82.9,27.6,25.1,55.9,85.7
31.7,35.7,84.2,17.0,27.7,43.0,175.5
95.5,60.9,83.0,3.5,25.3,23.4,357.8
29.2,9.5,89.9,-2.2,10.3,32.3,720.0
88.9,42.3,96.4,12.9,28.6,35.1,640.7
60.8,35.2,81.6,42.7,19.0,62.6,434.3
71.4,79.0,83.1,34.1,29.9,49.7,54.1
35.2,62.1,95.0,19.3,8.8,40.1,685.8
35.4,33.2,81.5,8.3,16.6,32.7,315.0
83.1,28.8,84.8,38.5,14.4,66.3,720.0
25.7,34.3,84.2,13.2,15.5,39.5,254.3
95.3,75.6,86.0,10.3,8.2,34.1,543.8
36.0,16.1,83.6,21.8,23.1,29.2,319.7
51.1,13.3,96.4,30.3,29.8,67.0,570.2
81.2,64.1,94.8,7.3,27.5,38.4,442.1
69.0,11.3,87.2,0.6,7.1,26.4,720.0
63.8,50.4,82.2,27.2,15.3,44.5,402.2
30.9,6.5,90.0,39.7,32.0,63.6,283.8
58.5,12.1,85.8,10.7,23.2,27.6,589.7
47.6,63.4,92.4,35.4,20.0,54.7,295.2
24.8,60.9,88.7,15.6,19.6,42.8,132.0
99.5,37.6,97.1,33.3,16.9,74.9,720.0
93.7,60.6,87.1,28.1,23.9,54.5,377.4
93.2,32.7,93.0,-2.4,28.3,25.1,720.0
46.6,21.8,92.7,4.9,12.0,24.7,720.0
50.5,59.3,80.9,38.9,19.6,62.2,167.2
50.4,78.9,99.7,31.1,16.1,51.8,417.7
67.1,44.5,95.8,4.5,19.6,26.5,720.0
44.9,6.8,93.4,6.5,31.9,24.9,470.7
63.8,43.9,87.0,5.2,23.8,19.3,380.7
29.6,11.3,82.5,16.4,15.7,45.1,418.1
98.1,8.4,97.0,41.9,31.5,66.5,720.0
82.2,51.3,88.7,7.1,29.8,44.3,384.1
76.4,25.1,95.1,37.3,27.7,49.0,679.2
94.8,64.2,87.7,-3.4,29.7,40.0,368.8
57.4,63.2,87.3,34.1,21.4,52.7,262.7
80.3,72.0,82.5,21.0,6.2,46.9,506.3
36.1,46.6,83.1,20.5,24.8,50.0,171.4
99.4,13.5,98.8,31.0,27.3,64.9,720.0
90.3,73.6,95.2,18.3,19.7,44.5,512.7
94.0,14.2,90.5,40.0,12.6,63.7,720.0
52.5,41.6,89.2,-4.8,13.4,18.5,720.0
50.1,35.9,89.4,-1.3,29.0,19.0,380.3
42.0,10.8,96.1,31.9,30.8,55.4,441.8
90.7,23.7,84.1,17.7,13.1,42.2,720.0
35.6,56.9,89.1,35.2,20.7,64.4,237.8
24.7,67.8,89.3,-2.0,16.9,16.2,159.5
28.8,68.0,93.9,19.8,19.0,43.7,200.2
72.9,71.5,94.6,29.3,18.1,65.0,473.9
91.2,42.0,82.6,21.1,20.5,40.8,544.7
52.8,79.7,80.5,-3.4,28.7,11.8,8.6
30.3,7.9,80.8,18.1,24.8,49.4,292.2
54.6,55.5,91.0,-0.5,24.3,24.3,348.3
60.8,77.4,98.5,35.8,13.2,59.7,591.2
81.9,53.0,93.7,8.7,9.7,39.5,720.0
78.3,45.6,92.1,39.8,11.9,54.9,720.0
63.1,35.1,84.0,21.9,21.3,44.2,424.6
74.9,14.4,80.6,40.3,26.6,93.3,720.0
54.1,65.4,82.5,21.4,24.2,41.2,127.7
32.6,47.1,93.6,15.6,8.8,44.5,645.2
75.6,46.3,86.7,17.4,19.3,46.4,566.7
67.3,44.9,90.4,32.8,21.3,43.9,580.9
47.6,31.1,80.4,4.4,20.4,26.8,376.0
90.6,62.7,99.4,27.2,21.3,64.0,703.7
31.9,31.4,89.8,37.2,15.1,49.9,460.9
24.9,63.6,86.6,39.2,6.0,63.6,355.4
47.0,42.7,96.0,24.8,18.3,57.1,469.6
32.2,18.5,80.7,35.0,6.5,65.8,720.0
92.1,33.4,94.4,-3.7,25.0,12.9,720.0
95.0,21.4,97.8,4.5,14.7,43.0,720.0
95.4,52.6,89.2,-5.0,20.5,12.8,720.0
65.2,15.9,84.6,20.5,15.6,50.0,720.0
35.1,61.9,87.7,28.9,10.7,45.7,329.3
86.6,71.6,92.3,21.8,10.3,65.5,720.0
82.2,7.1,87.4,40.5,30.5,54.3,711.0
68.6,74.8,80.2,33.0,12.9,62.9,82.2
49.3,38.8,89.9,15.1,28.3,37.4,299.5
63.7,70.1,86.0,32.1,28.1,47.8,149.7
89.9,70.0,83.4,0.4,25.7,29.0,171.8
58.8,76.8,91.5,8.7,8.8,26.1,550.5
60.9,32.8,94.3,45.0,22.9,67.4,609.1
87.2,74.3,99.9,15.5,7.1,41.8,720.0
61.5,67.0,89.6,16.1,31.7,46.2,198.3
26.1,65.9,87.3,9.0,23.9,44.0,115.4
62.5,25.2,91.6,-2.1,27.5,21.2,631.0
83.6,45.8,98.1,27.2,7.5,53.9,720.0
47.6,20.3,99.9,13.4,27.9,46.1,537.6
86.9,48.9,97.6,38.3,25.5,60.7,663.4
96.7,69.0,85.5,18.1,24.9,39.2,255.5
